Key,Description,en,es
GBU-38 Bomb x3_description,Item description of: GBU-38 Bomb x3,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,"Munición de ataque directo, 500lb guiadas por GPS. Es una bomba MK.82 con un paquete de guiado sujetado."
eqSublabel_GPS-BOMB,HUD sub-label of an equip,GPS BOMB,BOMBA GPS
gpsBomb_targetMode,"An option for GPS bombs' targeting mode (auto, manual, dumb)",TARGET MODE,MODO OBJETIVO
gpsBomb_autoRelRate,An option for GPS bomb's automatic release rate (shortened to fit UI space).,AUTO REL RATE,TASA LIB AUTO
s_gbu_mode_0,Targeting mode label for GPS bomb,MANUAL,
s_gbu_mode_1,Targeting mode label for GPS bomb,AUTO,
s_gbu_mode_2,Targeting mode label for GPS bomb,DUMB,
interactable_button_grip,,Grip,Agarre
interactable_button_trigger,,Trigger,Gatillo
vehicleConfig_denyBusy,Denial message for vehicle configurator,BUSY: RELOADING,OCUP:RECARGANDO
vehicleConfig_invalidReload,Denial message for vehicle configurator,Full reload will be over budget!,
vehicleConfig_totalMass,,Total mass:,Masa total:
vehicleConfig_fuelKnob,,Set fuel,Combustible:
vehicleConfig_flightCost,,Flight cost:,Coste de vuelo:
vehicleConfig_budget,,Budget:,Presupuesto:
vehicleConfig_countermeasures,,Countermeasures,Contramedidas
vehicleConfig_flareLabel,,IR Flares,Bengalas IR
vehicleConfig_flareKnob,,Set flares,Equipar Bengalas
vehicleConfig_chaffLabel,,ECM Chaff,ECM Chaff
vehicleConfig_chaffKnob,,Set chaff,Equipas chaff
vehicleConfig_repairButton,,Repair,Reparar
vehicleConfig_repairButtonText,,Repair,Reparar
vehicleConfig_repairCostLabel,,Repair cost:,Coste de reparación:
vehicleConfig_equipMass,,Mass:,Masa:
vehicleConfig_hardpoint,,Hardpoint,Punto de Anclaje
vehicleConfig_none,,None,Ninguno
vehicleConfig_saveLoad,,Save/load,Guardar/Cargar
vehicleConfig_backButton,Return to previous screen,Back,Volver
equipConfig_noEquips,A label shown in the vehicle configurator when there are no available equipment.,No equipment.,Sin equipamiento.
equipConfig_noEquipsDescription,A more descriptive label shown when there is no equipment available.,Equipment for this hardpoint is not yet available.,El equipamiento para este punto de anclaje no disponible aún.
vehicleConfig_equipCost,,Cost:,Coste:
vehicleConfig_count,,Count:,Cantidad:
vehicleConfig_fuel,,FUEL,COMB
vehicleConfig_equipButton,Equip the selected item,Equip,
vehicleConfig_detachButton,Detach the current item,Detach,Desacoplar
vehicleConfig_previous,,Previous,Anterior
vehicleConfig_next,,Next,Siguiente
vehicleConfig_availableEquipment,,"Available
equipment","Equipamiento
disponible"
vehicleConfig_scroll,,Scroll,
vehicleConfig_symmetry,,Symmetry,Simetría
vehicleConfig_symmetryButton,,Toggle symmetry,Alternar simetría
vehicleConfig_load,,Load,Cargar
vehicleConfig_save,,Save,Guardar
vehicleConfig_saveNew,,Save new...,Guardar nuevo...
vehicleConfig_overwrite,,Overwrite,Sobreescribir
vehicleConfig_delete,,Delete,Borrar
500L Fuel Drop Tank_fullName,Full equip name of: 500L Fuel Drop Tank,500L Fuel Drop Tank,Tanque externo 500L
500L Fuel Drop Tank_description,Item description of: 500L Fuel Drop Tank,A 500 liter fuel tank.,Un tanque de combustible de 500 litros
AIM-9E Sidewinder x2_fullName,Full equip name of: AIM-9E Sidewinder x2,AIM-9E Sidewinder x2,
AIM-9E Sidewinder x2_description,Item description of: AIM-9E Sidewinder x2,"A rack of two AIM-9E. An older short range, rear-aspect, heat seeking air to air missile.","Un pilón con dos AIM-9E. Misil Aire-Aire de generación anterior, Guiado térmico por aspecto trasero de corto alcance."
eqSublabel_IR,HUD sub-label of an equip,IR,
ON,,ON,
OFF,,OFF,
irml_seekMode,Option title for IR missiles' heat-seeking mode,SEEK MODE,MODO BÚSQ
irml_trigUncage,"Option title for IR missiles' seeker to be uncaged by the trigger (trigger uncage, shortened for UI space).",TRIG UNCAGE,LIB SENSOR
s_seekerMode_0,Label for heatseeker mode,Caged,Bloqueado
s_seekerMode_1,Label for heatseeker mode,Uncaged,Bloq Sensor
s_seekerMode_2,Label for heatseeker mode,Vertical Scan,Scan Vertical
s_seekerMode_3,Label for heatseeker mode,Head Track,Seg. Cabeza
s_seekerMode_4,Label for heatseeker mode,Hard Lock,
Hydra-70 x19 Rocket Pod_fullName,Full equip name of: Hydra-70 x19 Rocket Pod,Hydra-70 x19 Rocket Pod,Contenedor de cohetes Hydra-70 x19
Hydra-70 x19 Rocket Pod_description,Item description of: Hydra-70 x19 Rocket Pod,"A pod carrying a total of 19 high explosive rockets.  Can be fired in single shot mode, or rapid fire (ripple).",Un contenedor llevando un total de 19 cohetes AE. Pueden ser disparados uno a uno o en secuencia rápida (Salva)
eqSublabel_ROCKET,HUD sub-label of an equip,ROCKET,COHETE
s_rocket_salvo,Rocket launcher salvo option,SALVO,SALVA
M62 Vulcan 20mm_fullName,Full equip name of: M62 Vulcan 20mm,M62 Vulcan 20mm,
M62 Vulcan 20mm_description,Item description of: M62 Vulcan 20mm,A modern 20mm rotary cannon.,Un cañón moderno de 20mm
eqSublabel_CANNON,HUD sub-label of an equip,CANNON,CAÑÓN
ASF-SRM x2_fullName,Full equip name of: ASF-SRM x2,ASF-SRM x2,
ASF-SRM x2_description,Item description of: ASF-SRM x2,A rack of two standard heat-seeking anti-air missiles.,Un Pilón de 2 misiles anti-aéreos estandar guiado por calor.
RG25 Twin Revolving Cannons_fullName,Full equip name of: RG25 Twin Revolving Cannons,RG25 Twin Revolving Cannons,Cañones gemelos rotatorios RG25
RG25 Twin Revolving Cannons_description,Item description of: RG25 Twin Revolving Cannons,Twin 25mm revolving cannons.,Cañones gemelos rotatorios RG25
AIM-7 SARH Missile_fullName,Full equip name of: AIM-7 SARH Missile,AIM-7 SARH Missile,Misil AIM-7 SARH
AIM-7 SARH Missile_description,Item description of: AIM-7 SARH Missile,An older semi-active radar guided medium range air to air missile. The missile requires a radar lock from launch until impact.,Un misil aire-aire de generación anterior guiado por radar semi-activo. El misil requiere un bloqueo constante en radar desde que es lanzado hasta que impacta.
eqSublabel_SARH-AAM,HUD sub-label of an equip,SARH AAM,
WR-25 Rocket Pod_fullName,Full equip name of: WR-25 Rocket Pod,WR-25 Rocket Pod,Contenedor de Cohetes WR-25
WR-25 Rocket Pod_description,Item description of: WR-25 Rocket Pod,A hexagonal pod carrying 25 unguided rockets.,Un contenedor hexagonal llevando 25 cohetes sin guiado
ASMRM-7 x1_fullName,Full equip name of: ASMRM-7 x1,ASMRM-7 x1,
ASMRM-7 x1_description,Item description of: ASMRM-7 x1,Medium range radar guided air to air missile.,Misil aire-aire de medio alcance guiado por radar
Mk-82 Bomb x3_fullName,Full equip name of: Mk-82 Bomb x3,Mk-82 Bomb x3,Bomba Mk-82 x3
Mk-82 Bomb x3_description,Item description of: Mk-82 Bomb x3,Standard un-guided 500lb bombs.,Bombas estándar sin guiado de 500lb
eqSublabel_BOMB,HUD sub-label of an equip,BOMB,BOMBA
bombRack_releaseArea,An option for bomb weapons - how wide of a target area to automatically release bombs in.,RELEASE AREA,AREA LANZAMIENTO
SALVO,,SALVO,SALVA
bomb_lowG,"HUD label shown when aircraft is under low or negative g-forces, preventing bomb release.","LOW G
NO RELEASE","G NEG
NO LANZAR"
s_ccrpAuto,,CCRP AUTO,
AIRS-T Advanced SRM x2_fullName,Full equip name of: AIRS-T Advanced SRM x2,AIRS-T Advanced SRM x2,AIRS-T Avanzado SRM x2
AIRS-T Advanced SRM x2_description,Item description of: AIRS-T Advanced SRM x2,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","Misil de corto alcance guiado por calor con empuje vectorial. Maniobravilidad, rango y sistema contra-contramedidas mejorado. Su tecnología avanzada permite interceptar misiles entrantes."
Conformal Fuel Tank_fullName,Full equip name of: Conformal Fuel Tank,Conformal Fuel Tank,Tanque de combustible conformado
Conformal Fuel Tank_description,Item description of: Conformal Fuel Tank,A modification that allows the aircraft to hold an extra 6400L of fuel.,Una modificación que permine a la aeronave llevar 6400L extra de combustible.
AGM-88 ARM_fullName,Full equip name of: AGM-88 ARM,AGM-88 ARM,
AGM-88 ARM_description,Item description of: AGM-88 ARM,Medium range anti-radiation missile.,Misil anti-radiación de medio alcance.
eqSublabel_ARM,HUD sub-label of an equip,ARM,
AGM-65 x3_fullName,Full equip name of: AGM-65 x3,AGM-65 x3,
AGM-65 x3_description,Item description of: AGM-65 x3,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Misil antitante ""tira y olvida"" de medio alcance ópticamente guiado."
eqSublabel_OPTICAL-FF,HUD sub-label of an equip,OPTICAL FF,
AUTO,,AUTO,
MANUAL,,MANUAL,
oml_uncageMode,Option title for optical missiles' seeker uncage mode (unlocking from the forward aiming position).,UNCAGE MODE,LIB. SENSOR
oml_noTgp,Optical AGM is selected but there is no TGP attached,NO TGP,
AN/AAQ-28 Targeting Pod_fullName,Full equip name of: AN/AAQ-28 Targeting Pod,AN/AAQ-28 Targeting Pod,Módulo de apuntado AN/AAQ-28
AN/AAQ-28 Targeting Pod_description,Item description of: AN/AAQ-28 Targeting Pod,Sensor pod for acquiring and tracking targets using optics and lasers.  A necessary component for certain guided missiles.,Módulo sensor para adquirir y seguir objetivos usando óptica y láser. Un componente necesario para ciertos misiles guiados.
GAU-22 Redeemer 25mm_fullName,Full equip name of: GAU-22 Redeemer 25mm,GAU-22 Redeemer 25mm,
GAU-22 Redeemer 25mm_description,Item description of: GAU-22 Redeemer 25mm,"A 4-barrel 25mm rotary cannon.
Rate of fire: 3300 RPM","Un cañón rotatorio de 4 salidas de 25mm.
Cadencia de fuego: 3300 BPM"
MK-82AIR x32_fullName,Full equip name of: MK-82AIR x32,MK-82AIR x32,
MK-82AIR x32_description,Item description of: MK-82AIR x32,A rack of 32 MK-82AIR high drag bombs.,Un pilón de 32 bombas de alta resistencia aerodinámica MK-82AIR
GBU-12 Laser Guided Bomb_fullName,Full equip name of: GBU-12 Laser Guided Bomb,GBU-12 Laser Guided Bomb,Bomba guiada por láse GBU-12
GBU-12 Laser Guided Bomb_description,Item description of: GBU-12 Laser Guided Bomb,A 500lb laser guided bomb.,Una bomba guiada por láser de 500lb
eqSublabel_LASER-BOMB,HUD sub-label of an equip,LASER BOMB,BOMBA LASER
lgb_targetMode,Option title for laser guided bombs' targeting mode.,TARGET MODE,MODO OBJ
s_LOAL,Lock on after launch HUD label for laser bomb,LOAL,
s_lgbMode_0,Laser guided bomb targeting mode,LASER,
s_lgbMode_1,Laser guided bomb targeting mode,DUMB,
AGM-65_fullName,Full equip name of: AGM-65,AGM-65,
AGM-65_description,Item description of: AGM-65,"A medium range optically guided ""fire-and-forget"" anti-tank missile.","Un Misil anti-tanque ""tira y olvida"" de medio alcance opticamente guiado"
CBU-97 Bomb x1_fullName,Full equip name of: CBU-97 Bomb x1,CBU-97 Bomb x1,Bomba CBU-97 x1
CBU-97 Bomb x1_description,Item description of: CBU-97 Bomb x1,A smart cluster bomb that fires 40 explosively shaped armor penetrators at targets.,Una bomba de racimo inteligente que dispara 40 HEATs al objetivo
eqSublabel_CLUSTER-BOMB,HUD sub-label of an equip,CLUSTER BOMB,BOMBA RACIMO
s_cbuAlt,HUD when below submunition deploy altitude of cluster bomb,BELOW CBU ALT,BAJO CBU ALT
M230 Chain Gun_fullName,Full equip name of: M230 Chain Gun,M230 Chain Gun,
M230 Chain Gun_description,Item description of: M230 Chain Gun,A single-barrel 30mm automatic cannon mounted on a gimbal. The gimbal will be locked forward above a certain airspeed.,"Cañón automático de 30mm montado en un gimbal.
El gimbal se bloqueará mirando al frente a cierta velocidad"
eqSublabel_CANNON-GIMBAL,HUD sub-label of an equip,CANNON GIMBAL,CAÑÓN GIMBAL
gunTurret_locked,Label for when a gun turret is set to be locked in the forward-aiming position.,LOCKED,BLOQ
gunTurret_slaved,Label for wh en a gun turret is set to be controlled by (slaved to) an external sensor.,SLAVED,VINCULADO
gunTurret_gimbal,Option title for gun turrets' gimbal (rotation/aiming) to be locked or slaved.,GIMBAL,
gunTurret_speedlock,Label when gun turret is locked due to overspeed,SPEEDLOCK,BLOQ VEL
AIRS-T Advanced SRM x3_fullName,Full equip name of: AIRS-T Advanced SRM x3,AIRS-T Advanced SRM x3,AIRS-T avanzado SRM x3
AIRS-T Advanced SRM x3_description,Item description of: AIRS-T Advanced SRM x3,"Short range heat seeking air to air missile with thrust vectoring.
Improved maneuverability, range, and counter-countermeasure system.
Advanced technology allows it to intercept incoming missiles.","Misil Aire-Aire de corto alcance guiado por calor con empuje vectorial. Maniobravilidad, rango y sistema contra-contramedidas mejorado. Su tecnología avanzada permite interceptar misiles entrantes."
AGM-145 Ballista x4_fullName,Full equip name of: AGM-145 Ballista x4,AGM-145 Ballista x4,
AGM-145 Ballista x4_description,Item description of: AGM-145 Ballista x4,"Small anti-tank missiles with advanced optics, ""fire and forget"", and smart self-targeting technology. Can be fired without line of sight to the designated target point, and will acquire hostile targets automatically.","Pequeño misil anti-tanque con ópticas avanzadas, ""tira y olvida"" y tecnología inteligente de auto-asignación de objetivo. Puede ser disparado sin lina de visión al punto objetivo designado y el misil adquirirá el objetivo automaticamente."
eqSublabel_OPTICAL-FAF,HUD sub-label of an equip,OPTICAL FAF,
tutName_Hover Tutorial,Name of a legacy tutorial objective,Hover Tutorial,Tutorial de vuelo estacionario
tutDesc_Hover Tutorial,Description of a legacy tutorial,Learn to hover.,Aprende a volar estacionariamente.
tut:Hover Tutorial:Intro10,A tutorial label,Welcome to the hover tutorial.,Bienvenido al tutorial de vuelo estacionario.
tut:Hover Tutorial:Intro21,A tutorial label,We'll begin with the start-up sequence.,Vamos a empezar la puesta en marcha.
tut:Hover Tutorial:Brake Lock2,A tutorial label,Enable Brake Lock,Activa el freno de mano
tut:Hover Tutorial:Enable battery3,A tutorial label,Enable Battery,Activa la batería
tut:Hover Tutorial:start up apu4,A tutorial label,Start APU,Activa el APU
tut:Hover Tutorial:wait spool apu5,A tutorial label,Let the APU spool up,Deja que el APU se revolucione
tut:Hover Tutorial:StartLeftEngine6,A tutorial label,Start Left Engine,Activa el motor izquierdo
tut:Hover Tutorial:StartRightEngine7,A tutorial label,Start Right Engine,Activa el motor derecho
tut:Hover Tutorial:Flaps8,A tutorial label,Set flaps to full,Baja los flaps a tope
tut:Hover Tutorial:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Espera a que los motores se revolucionen.
tut:Hover Tutorial:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,Los motores estan propocionando electricidad ya. Podemos apagar la APU.
tut:Hover Tutorial:TurnOffAPU11,A tutorial label,Turn off APU.,Apaga la APU.
tut:Hover Tutorial:EnableHUD12,A tutorial label,Turn on the HUD,Enciende el HUD.
tut:Hover Tutorial:EnableMFD113,A tutorial label,Turn on the MFDs,Enciende los MFDs
tut:Hover Tutorial:EnableMFD214,A tutorial label,Turn on the MFDs,Enciende los MFDs
tut:Hover Tutorial:EnableMFD315,A tutorial label,Turn on the MFDs,Enciende los MFDs
tut:Hover Tutorial:GrabJoy16,A tutorial label,Grab the joystick.,Agarra el Joystick.
tut:Hover Tutorial:GrabThrottle17,A tutorial label,Grab the throttle.,Agarra el acelerador.
tut:Hover Tutorial:SetTilt18,A tutorial label,Set the engine tilt to 90,Pon los motores en un ángulo de 90º
tut:Hover Tutorial:LiftOff19,A tutorial label,Slowly lift the throttle until you take off.,Lentamente ve acelerando hasta que despegues
tut:Hover Tutorial:MaintainAttitude20,A tutorial label,Try to keep your nose level with the horizon.,Intenta mantener el nivel del morro con el horizonte
tut:Hover Tutorial:ClimbAltitude21,A tutorial label,Slowly climb to 100m altitude.,Sube lentamente a 100m de altitud.
tut:Hover Tutorial:Hover22,A tutorial label,Adjust throttle to maintain zero vertical speed.,Ajusta el acelerador para mantener cero velocidad vertical
tut:Hover Tutorial:CancelLaterals23,A tutorial label,Cancel lateral speed by rolling or pitching slightly in the opposite direction.,Cancela la velocidad lateral alabeando o cabeceando ligeramente en la dirección contraria.
tut:Hover Tutorial:HoldPos24,A tutorial label,Try to hold this position for a few moments.,Intenta mantener esta posición por algunos segundos.
tut:Hover Tutorial:DescendTime25,A tutorial label,Now lets try to land.,Ahora intentemos aterrizar.
tut:Hover Tutorial:Descend26,A tutorial label,Adjust throttle to slowly descend at about -6 m/s,Ajusta el acelerador para que descienda aprox a -6 m/s
tut:Hover Tutorial:PrepareForImpact27,A tutorial label,Throttle up to about -2 m/s,Acelera hasta los -2 m/s
tut:Hover Tutorial:PostLand28,A tutorial label,Throttle down!,Desacelera!
tut:Hover Tutorial:Complete29,A tutorial label,Tutorial complete! Good job!,¡Tutorial completado! ¡Bien hecho!
4000L Fuel Drop Tank_fullName,Full equip name of: 4000L Fuel Drop Tank,4000L Fuel Drop Tank,Tanque Combustible 4000L
4000L Fuel Drop Tank_description,Item description of: 4000L Fuel Drop Tank,A 4000 liter detachable external fuel tank.,Un tanque externo deshechable de 4000 litros de combustible
ASF-SRM x1_fullName,Full equip name of: ASF-SRM x1,ASF-SRM x1,
ASF-SRM x1_description,Item description of: ASF-SRM x1,A standard heat-seeking anti-air missile.,Un misil anti-aire guiado por calor estándar
GBU-38 Bomb x2_fullName,Full equip name of: GBU-38 Bomb x2,GBU-38 Bomb x2,Bomba GBU-38 x2
GBU-38 Bomb x2_description,Item description of: GBU-38 Bomb x2,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,"Munición de ataque directo, 500lb guiadas por GPS. Es una bomba MK.82 con un paquete de guiado sujetado."
AIM-9 Sidewinder x2_fullName,Full equip name of: AIM-9 Sidewinder x2,AIM-9 Sidewinder x2,
AIM-9 Sidewinder x2_description,Item description of: AIM-9 Sidewinder x2,A rack of two standard heat-seeking Sidewinder anti-air missiles.,Un pilón con con dos misiles Aire-Aire estandar Sidewinder guiado por calor
eqSublabel_IR-AAM,HUD sub-label of an equip,IR AAM,
GBU-38 Bomb x1_fullName,Full equip name of: GBU-38 Bomb x1,GBU-38 Bomb x1,Bomba GBU-38 x1
GBU-38 Bomb x1_description,Item description of: GBU-38 Bomb x1,500lb GPS guided direct attack munition. It's a Mk.82 bomb with a guidance package strapped on.,"Munición de ataque directo, 500lb guiadas por GPS. Es una bomba MK.82 con un paquete de guiado sujetado."
menu_back,"General ""back"" button for menus.",Back,Volver
mpmm_members,Title for multiplayer members management menu.,Members,Miembros
mpmm_toggleMute,Toggle muting player voice,Toggle mute,Alternar Silencio
mpmm_kick,Kick member button,Kick,Expulsar
mpmm_ban,Ban member button,Ban,Vetar
mpmm_block,Block member button,Block,Bloquear
scrollbar,UI Scrollbar interactable,Scroll,
okay,,Okay,
cancel,,Cancel,Cancelar
mpmm_inviteMenuButton,Button to open the invite friends menu,Invite friends,Invitar amigos
mpmm_inviteFriendsTitle,Invite menu title,Invite friends,Invitar amigos
mpmm_invited,Label to show that a friend has been invited.,Invited,Invitado
mpmm_invite,Button to invite this friend.,Invite,Invita
s_cms_rate_single,CMS release rate - single fire mode,Single,Semi
s_cms_rMode_0,CMS release mode,Single Auto,Semi auto
s_cms_rMode_1,CMS release mode,Single L,Semi Izq
s_cms_rMode_2,CMS release mode,Single R,Semi Der
s_cms_rMode_3,CMS release mode,Double,Doble
tutName_Getting Started,Name of a legacy tutorial objective,Getting Started,Primeros Pasos
tutDesc_Getting Started,Description of a legacy tutorial,Complete the intro tutorial.,Completa la intro del tutorial.
tut:Getting Started:Intro10,A tutorial label,Welcome to the AV-42C,Bienvenido al AV-42C
tut:Getting Started:Intro21,A tutorial label,"First, let's keep the bird from rolling away.","Primero, vamos a mantener al pajarito quieto."
tut:Getting Started:Brake Lock2,A tutorial label,Enable Brake Lock,Pon el freno de mano
tut:Getting Started:Startup3,A tutorial label,Now lets move on to the start-up sequence.,Ahora vamos a la puesta en marcha.
tut:Getting Started:Enable battery4,A tutorial label,Enable Battery,Activa la batería
tut:Getting Started:start up apu5,A tutorial label,Start APU,Activa la APU
tut:Getting Started:wait spool apu6,A tutorial label,Let the APU spool up a bit.,Deja que la APU se revolucione.
tut:Getting Started:StartLeftEngine7,A tutorial label,Start Left Engine,Enciende el motor izquierdo
tut:Getting Started:StartRightEngine8,A tutorial label,Start Right Engine,Enciende el motor derecho
tut:Getting Started:WaitSpool9,A tutorial label,Wait for the engines to spool up.,Espera a que los motores se revolucione
tut:Getting Started:NoNeedAPU10,A tutorial label,The engines are now supplying power.  We can turn off the APU.,Los motores estan propocionando electricidad ya. Podemos apagar la APU.
tut:Getting Started:TurnOffAPU11,A tutorial label,Turn off APU.,Apaga la APU.
tut:Getting Started:EnableHUD12,A tutorial label,Turn on the HUD,Enciende el HUD.
tut:Getting Started:HUDInfo13,A tutorial label,"The HUD (Heads-Up Display) shows you attitude, altitude, velocity, targeting reticles, and other important flight data at a glance.","El HUD (Heads-Up Display) muestra tu altitud, orientación, velocidad, retículas de objetivo, y otros datos importantes del vuelo a grandes rasgos."
tut:Getting Started:EnableMFD114,A tutorial label,Turn on the MFD 1,Enciende el MFD 1
tut:Getting Started:EnableMFD215,A tutorial label,Turn on the MFD 2,Enciende el MFD 2
tut:Getting Started:EnableMFD316,A tutorial label,Turn on the MFD 3,Enciende el MFD 3
tut:Getting Started:MFD info17,A tutorial label,The MFDs (Multi-Function Displays) give you access to,Los MFDs (Multi-Function Displays) te dan acceso a
tut:Getting Started:MFD info 218,A tutorial label,"aircraft features such as weapon configuration, navigation maps,","características de la aeronave como configuración de armas, mapas de navegación,"
tut:Getting Started:MFD info 319,A tutorial label,"sensors, etc.  You can access these features by pressing the corresponding buttons around the edge of the monitor.","sensores, etc. Puedes acceder a estas características apretando el botón correspondiente alrededor de los bordes del monitor."
tut:Getting Started:ReadyToFly20,A tutorial label,The vehicle is now ready to fly.  Up next: Basic Flight,El vehículo está listo para volar. Lo siguiente: Vuelo básico
s_endMission_quickload,Label for quickload button in end-mission display 'Quick Load (x mins ago)',Quick Load,Cargado Rápido
s_endMission_dumpedLog,Label for end-mission entry when flight log is saved to disk.,Dumped flight log,Registro de vuelo descargado
vpdt_ContinueFlightText,[xxx] tags will be replaced by platform specific controls. Keep them.,"Continue Flight
(Press [menu] to return to this screen)","Continuar Vuelo
(Presiona [menu] para volver a esta pantalla)"
hud_noArm,A short HUD label when no weapons are armed.,NO ARM,
s_newObj,Objective popup message in HUD,NEW OBJECTIVE,NUEVO OBJETIVO
s_objComplete,Objective popup message in HUD,OBJECTIVE COMPLETE,OBJETIVO COMPLETADO
s_objFailed,Objective popup message in HUD,OBJECTIVE FAILED,OBJETIVO FALLIDO
commReply_s_comm_reply,A text reply in the communications menu.,REPLY:,RESPUESTA:
commReply_s_noHostilesFound,A text reply in the communications menu.,No hostiles found.,No se encontraron hostiles.
commReply_s_awacsNotReady,A text reply in the communications menu.,AWACS is not ready to report.,AWACS no está listo para reportar.
commReply_s_noAwacsAvailable,A text reply in the communications menu.,No AWACS available,AWACS no disponible
commReply_s_awacsPicRequested,A text reply in the communications menu.,AWACS picture requested,Foto pedida al AWACS
commReply_s_awacsRequestedRTB,A text reply in the communications menu.,Requested RTB vector from AWACS,Pedido el vector RTB del AWACS
s_hostile,Prefix for AWACS bogey dope response,Hostile,Hostil
commReply_s_rearmingNotAvailable,A text reply in the communications menu.,Rearming not available.,Rearme no disponible.
commReply_s_notAtRearmingStation,A text reply in the communications menu.,Not at a rearming station. Return to base.,No estación de rearme. Vuelve a base.
commReply_s_turnOffEngines,A text reply in the communications menu.,Please turn off your engines.,Porfavor apaga los motores.
commReply_s_disarmWeapons,A text reply in the communications menu.,Please disarm your weapon system.,Porfavor desarma tu sistema de armamento
commReply_s_unhookTailhook,A text reply in the communications menu.,Please disengage your arrestor hook.,Porfavor recoge el gancho de detención
commReply_s_rearmPointOccupied,A text reply in the communications menu.,This station is occupied!,¡Esta estación está ocupada!
commReply_s_taxiToRearm,A text reply in the communications menu.,Please taxi to a rearming station.,Porfavor rueda hasta la estación de rearme
commReply_s_wingmenBusy,A text reply in the communications menu.,Your wingmen are busy.,Tus compañeros están ocupados.
commReply_s_someWingmenBusy,A text reply in the communications menu.,Some of your wingmen are busy.,Algunos de tus compañeros están ocupados.
commReply_s_noWingmen,A text reply in the communications menu.,You have no wingmen.,No tienes compañeros.
commReply_s_wingmenOrbiting,A text reply in the communications menu.,Wingmen orbiting here.,Compañeros orbitando aquí.
commReply_s_wingmenEngaging,A text reply in the communications menu.,Wingmen engaging targets at will!,¡Compañeros atacando objetivos a discreción!
commReply_s_wingmenDisengaging,A text reply in the communications menu.,Wingmen disengaging from combat!,¡Compañeros saliendo del combate!
commReply_s_wingmenFormationSpread,A text reply in the communications menu.,Wingmen setting formation spread.,Compañeros formando alejados.
commReply_s_wingman,A text reply in the communications menu.,Wingman,Compañero
commReply_s_attackingTSD,A text reply in the communications menu.,attacking your TSD target!,¡Atacando tu objetivo TSD!
commReply_s_attackingRadar,A text reply in the communications menu.,attacking your radar target!,¡atacando tu objetivo del radar!
commReply_s_attackingTGP,A text reply in the communications menu.,attacking your TGP target!,¡atacando tu objetido del TGP!
commReply_s_attackingARAD,A text reply in the communications menu.,attacking your ARAD target!,¡atacando tu objetivo del ARAD!
commReply_s_noWingmenForAttack,A text reply in the communications menu.,No wingmen available for attack.,Ningun compañero disponible para atacar.
commReply_s_noTarget,A text reply in the communications menu.,No target selected.,Ningun objetivo seleccionado.
