Key,Description,en,es
offTxt_858396,UI Text,RWR OFF,RWR OFF
hudModeText_855534,UI Text,DECL,DECL
Text_856460,UI Text,GAME MENU,MENÚ DEL JUEGO
Text_856942,UI Text,"Sit comfortably
and press
[menu]
to recenter","Sientate cómodamente
y presiona
[menu]
para recentrar"
saveText_858168,UI Text,SAVE,GUARDAR
availableLabel_856046,UI Text,"SAVES
AVAILABLE:","PARTIDAS
DISPONIBLES:"
NoQsText_856498,UI Text,"QUICKSAVE
NOT AVAILABLE","GUARDADO RÁPIDO
NO DISPONIBLE"
lastSaveLabel_859496,UI Text,Last Save:,Último Guardado:
loadText_858842,UI Text,LOAD,CARGAR
text_855302,UI Text,SAVED,GUARDADO
Quicksave Title_123840,UI Text,Quicksave,GUARDADO RÁPIDO
TgtsTitle_857670,UI Text,GPS TARGETS,OBJETIVO GPS
GroupsTitle_860122,UI Text,GROUPS,GRUPOS
DelTgt_857782,UI Text,"DELETE
TARGET","BORRAR
OBJETIVO"
DelGrp_856478,UI Text,"DELETE
GROUP","BORRAR
GRUPO"
NewGrp_859040,UI Text,"NEW
GROUP","NUEVO
GRUPO"
pathLabel_857952,UI Text,PATH,TRAYECTORIA
NoSignalText_859948,UI Text,NO SIGNAL,SIN SEÑAL
Text_857566,UI Text,AREA,AREA
Text_856980,UI Text,POINT,PUNTO
Text_856590,UI Text,IFF:FRIEND,IFF:AMIGO
Text_859178,UI Text,IFF:FOE,IFF:ENEMIGO
HeadModeText_855284,UI Text,"USE HELMET VISOR/HMCS

AUGMENTED VIEW ENABLED","USA VISOR DEL CASCO/HMCS
VISIÓN ASISTIDA HABILITADA"
gimbalLimit_858032,UI Text,GIMBAL LIMIT,LÍMITE DEL GIMBAL
hmdViewStatus_856300,UI Text,HMD,HMD
titleText_456206,UI Text,FLARES,BENGALAS
titleText_455052,UI Text,CHAFF,CHAFF
eqNameText_456958,UI Text,COUNTERMEASURE SYSTEM,SISTEMA DE CONTRAMEDIDAS
ReleaseRateTitle_456222,UI Text,RELEASE RATE,RITMO DE LANZAMIENTO
releaseModeTxt_455244,UI Text,RELEASE MODE,MODO DE LANZAMIENTO
eqNameText_930458,UI Text,VEHICLE OPTIONS,OPCIONES DEL VEHÍCULO
AltModeLabel_953220,UI Text,UNITS,UNIDADES
unitOptsText_702428,UI Text,FUEL,COMBUSTIBLE
unitOptsText_702142,UI Text,ALT WARN,AVISO ALTITUD
JoyModeText_952514,UI Text,JOY SENS,JOY SENS
eqNameText_701656,UI Text,UNIT OPTIONS,OPCIONES DE UNIDADES
Text_954730,UI Text,"Sit comfortably
and press menu
(top button)
to recenter","Sientate comodamente
y presiona menú
(botón de arriba)
para recentrar"
AltModeLabel_701584,UI Text,Alt Units,Unidades Alt
DistModeLabel_954954,UI Text,Dist Units,Unidades Dis
SpeedModeLabel_955738,UI Text,Speed Units,Unidades Vel
eqNameText_702892,UI Text,FUEL CONFIG,CONFIG COMB
internalFuelText_-432922,Internal Fuel,INTERNAL,INTERNO
externalFuelText_701646,External fuel,EXTERNAL,EXTERNO
BingoAdjustTitle_-439040,UI Text,BINGO LEVEL,NIVEL BINGO
eqNameText_701974,UI Text,ALTITUDE WARNINGS,AVISOS ALTITUD
title_702284,UI Text,MIN ALTITUDE,ALTITUD MIN
title_701018,UI Text,MAX ALTITUDE,ALTITUD MAX
modeTitle_702386,UI Text,MODE,MODO
MFD1PowerInteractable_856422,VR Interactable,MFD Power (Left),Encendido MFD (izquierdo)
MFDBrightnessKnob_858866,VR Interactable,MFD Brightness,Brillo MFD
MFD2PowerInteractable_856476,VR Interactable,MFD Power (Center),Encendido MFD (Central)
MFD3PowerInteractable_857594,VR Interactable,MFD Power (Right),Encendido MFD (Derecho)
CrsKnobInteractable_858264,VR Interactable,Course Set,Fijar Curso
Text_859426,UI Text,CRS,CRS
APHeadingKnobInteractable_859312,VR Interactable,AP Heading Set,Fijar Rumbo PA
RWRText_856538,UI Text,"R
W
R","R
W
R"
Text_859504,UI Text,VRMMFD v1.6,VRMMFD v1.6
fuelDrainLabel_859218,UI Text,FUEL DRAIN,CONSUMO COMB
estTimeLabel_856372,UI Text,EST TIME,TIEMPO EST
estDistLabel_856044,UI Text,EST DISTANCE,DISTANCIA EST
twrLabel_858560,UI Text,MAX TWR,MAX TWR
RWRButton_857352,VR Interactable,RWR,RWR
powButtonMMFDLeft_859524,VR Interactable,Power (MMFD Left),Encendido (MMFD Izquierdo)
FuelText_858474,UI Text,"F
U
E
L","C
O
M
B"
InfoLabel_857034,UI Text,"I
N
F
O","I
N
F
O"
powButtonMMFDRight_855584,VR Interactable,Power (MMFD Right),Encendido (MMFD Derecho)
infoButton_859450,VR Interactable,Fuel Info,Comb Info
fuelButton_855474,VR Interactable,Fuel,Combustible
mainBattSwitchInteractable_858600,VR Interactable,Main Battery,Batería Principal
fuelDumpSwitchInteractable_197570,VR Interactable,Fuel Dump Switch,Switch Purga Combustible
RampInteractable_858370,VR Interactable,Side Doors,Puertas
BrakeLockInteractable_859740,VR Interactable,Brake Locks,Freno de Mano
MicPowerInteractable_855850,VR Interactable,Microphone,Micrófono
CommsVolumeKnob_858450,VR Interactable,Comm Radio Volume,Volumen de Comunicaciones por Radio
Text_98822,UI Text,"GAME WINDOW
NOT IN FOCUS","VENTANA DEL JUEGO
FUERA DE FOCO"
ChaffInteractable_859410,VR Interactable,Toggle Chaff,Alternar Chaff
FlareInteractable_856806,VR Interactable,Toggle Flares,Alternar Bengalas
AssistMasterInteractable_860160,VR Interactable,Toggle Flight Assist,Alternar Asistente de Vuelo
PitchSASInteractable_855582,VR Interactable,Toggle Pitch Assist,Alternar Asistente de Cabeceo
YawSASInteractable_859920,VR Interactable,Toggle Yaw Assist,Alternar Asistente de Giñada
RollSASInteractable_859788,VR Interactable,Toggle Roll Assist,Alternar Asistente de Alabeo
PitchAutoTrimInteractable_859614,VR Interactable,Toggle Pitch Trim,Alternar Trim Cabeceo
GLimitSwitchInteractable_860152,VR Interactable,Toggle G-Limiter,Alternar Limitador de G
FuelPort_860018,VR Interactable,Fuel Port,Puerto de Combustible
RCSModeInteractable_858010,VR Interactable,RCS Mode,Modo RCS
RadioVolumeKnob_859248,VR Interactable,Radio Volume,Volumen Radio
PrevButton_857278,VR Interactable,Prev Song,Canción Anterior
NextButton_858006,VR Interactable,Next Song,Siguiente Canción
radioPlayPauseInteractable_858616,VR Interactable,Play/Pause,Play/Pause
RWRModeInteractable_856254,VR Interactable,RWR Mode,Modo RWR
CamcorderObj_105218,VR Interactable,Move Camera,Mover Cámara
