Key,Description,en,es
NO VEHICLES_740194,UI Text,NO VEHICLES,NO VEHÍCULOS
Title_731538,UI Text,TUTORIALS,TUTORIALES
NextButton_-4973280,VR Interactable,Next Tutorial,Siguiente Tutorial
PrevButton_-4973282,VR Interactable,Previous Tutorial,"Anterior Tutorial "
SelectButton_-645320,VR Interactable,Select Tutorial,Seleccionar Tutorial
Text_-645448,UI Text,Select,Seleccionar
Text_-645234,UI Text,Radar,
Text_-645284,UI Text,F/A-26B,
ScrollInteractable_-645206,VR Interactable,Scroll,
Name_747128,UI Text,VTOL VR - Steam Workshop Browser,VTOL VR - Navegador del Steam Workshop
ScenariosButton_746792,VR Interactable,Scenarios,Escenarios
CampaignsButton_745636,VR Interactable,Campaigns,Campañas
Text_746638,UI Text,Maps,Mapas
Name (1)_747156,UI Text,STEAM WORKSHOP,
Placeholder_742056,UI Text,search...,buscar...
ButtonSearch_745798,VR Interactable,Search,Buscar
SortOrderDropdown_742490,VR Interactable,Sort Dropdown,Ordenar Desplegable
Text_743832,UI Text,Entry Button,Botón de Entrada
AnyVehicleButton_741020,VR Interactable,Any Vehicle,Cualquier Vehículo
AV42Button_746716,VR Interactable,AV-42C,
Text_744672,UI Text,AV-42C,
missionTypeText (1)_742360,UI Text,Select vehicle,Seleccionar Vehículo
F-45AButton_744238,VR Interactable,F-45A,
VotesTab_743458,VR Interactable,Votes,Votos
FavesTab_744050,VR Interactable,Favorited,Favoritos
VotesTxt_747534,UI Text,Faves,Fav
SubsTab_746936,VR Interactable,Subscriptions,Subscripciones
VotesTxt_740374,UI Text,Subs,
NewTab_744656,VR Interactable,New,Nuevo
VotesTxt_740444,UI Text,Newest,Lo nuevo
ButtonPrevious_746534,VR Interactable,Previous Page,Página Anterior
ButtonNext_743488,VR Interactable,Next Page,Página Siguiente
Title (1)_741416,UI Text,"Loading 
steam workshop
missions","Cargando
misiones del
steam workshop"
Name_742760,UI Text,Error,
ErrorOkayButton_976098,VR Interactable,Okay,
Title_-645276,UI Text,"Select Campaign
",Selecionar Campaña
NextButton_-645330,VR Interactable,Next Campaign,Siguiente Campaña
PrevButton_-645328,VR Interactable,Previous Campaign,Anterior Campaña
SelectButton_516578,VR Interactable,Select Campaign,Seleccionar Campaña
BackButton_-645324,VR Interactable,Back to Vehicles,Volver a los Vehículos
Text_732522,UI Text,"The Island
",La Isla
Text_732678,UI Text,Custom Campaigns,Campañas Personalizadas
ResetButton_-645338,VR Interactable,Reset Campaign,Reiniciar Campaña
Text_-645444,UI Text,"Reset
Progress","Reiniciar
Progreso"
description_-645446,UI Text,Are you sure you want to reset progress on this campaign?,Estas seguro de que quieres reiniciar el progreso de esta campaña?
Text_-645584,UI Text,Reset,Reiniciar
Text_-645592,UI Text,Cancel,Cancelar
Title (1)_740090,UI Text,"Loading 
Campaigns & missions...","Cargando
Campañas & misiones..."
Text_-645730,UI Text,No missions found,No se encontraron misiones
Title_-645562,UI Text,Select mission,Seleccionar Misión
CompletedObject_-645176,UI Text,Completed,Completado
GrantedBudget_-645910,UI Text,Granted Budget: $500,Presupuesto: $500
RTrainingTitle_-645174,UI Text,"Recommended Training: ",Entrenamiento Recomendado:
Text_-645912,UI Text,FULL VERSION ONLY,SOLO VERSIÓN COMPLETA
Text_-645908,UI Text,UNDER CONSTRUCTION,BAJO CONSTRUCCIÓN
Text_-645892,UI Text,CUSTOM MAP MISSING,FALTA MAPA PERSONALIZADO
NextButton_-645564,VR Interactable,Next Mission,Siguiente Misión
PrevButton_-645598,VR Interactable,Previous Mission,Anterior Misión
SelectButton_-645578,VR Interactable,Select Mission,Seleccionar Misión
MissionsButton_-645568,VR Interactable,Missions,Misiones
Text_732526,UI Text,MISSIONS,MISIONES
TrainingButton_-645594,VR Interactable,Training,Entrenamiento
Text_-645732,UI Text,TRAINING,ENTRENAMIENTO
BackButton_-645608,VR Interactable,Back to Campaigns,Volver a las Campañas
triggerToSkip_-645838,UI Text,hold trigger to skip,Manten el gatillo para omitir
titleText_-645888,UI Text,"New Training Mission: ",Siguiente Mision de Entrenamiento:
MISSION BRIEFING_744042,UI Text,MISSION BRIEFING,BRIEFING DE LA MISIÓN
NextNoteButton_743764,VR Interactable,Next Note,Siguiente Nota
Text_742706,UI Text,Next,Siguiente
PrevNoteButton_745262,VR Interactable,Previous Note,Anterior Nota
Text_744920,UI Text,Previous,Anterior
FlyButton_740588,VR Interactable,Fly Mission,Mision de Vuelo
Text_743562,UI Text,Configure,Configurar
Text_746416,UI Text,Customize Pilot,Customizar Piloto
Label_740562,UI Text,suit,traje
HueUpButton_742114,VR Interactable,Hue Right,Matiz Derecho
HueDownButton_744534,VR Interactable,Hue Left,Matiz Izquierdo
Label (1)_740254,UI Text,Hue,Matiz
SatUpButton_745496,VR Interactable,Saturation Up,Subir Saturación
SatDownButton_741692,VR Interactable,Saturation Down,Bajar Saturación
Label (2)_741270,UI Text,Saturation,Saturación
ValUpButton_747676,VR Interactable,Value Up,Más
ValDownButton_747772,VR Interactable,Value Down,Menos
Label (3)_740798,UI Text,Brightness,Brillo
Label_741936,UI Text,vest,Traje
Label_740984,UI Text,G-Suit,
Label_746928,UI Text,Straps,Correas
Label_743676,UI Text,skin,Piel
AcceptButton_745474,VR Interactable,Accept Changes,Aceptar Cambios
Text_740032,UI Text,Accept,Aceptar
Button_740788,VR Interactable,Interactable,Interactuable
DecrButton_746112,VR Interactable,Decrease,Disminuir
IncrButton_743848,VR Interactable,Increase,Incrementar
PrevSettingsPageButton_745814,VR Interactable,Prev Page,Pág prev
ApplySettingsButton_740876,VR Interactable,Apply Settings,Aplicar Ajustes
RevertSettingsButton_745510,VR Interactable,Revert Settings,Revertir Ajustes
Text_744170,UI Text,Revert,Revertir
Text_743510,UI Text,Close,Cerrar
BindingsButton_740066,VR Interactable,Open Bindings Menu,Abrir Menú de Asignación de Teclas
Text_746038,UI Text,Bindings,Asignación de Teclas
OpenWingmenButton_742898,VR Interactable,Wingman Voices,Voces de la Escuadra
GameCat_692110,VR Interactable,Game,Juego
ControlsCat_696240,VR Interactable,Controls,Controles
AudioCat_692816,VR Interactable,Audio,
VideoCat_695570,VR Interactable,Video,
MiscCat_691360,VR Interactable,Miscellaneous,Miscelaneo
Text_691290,UI Text,Misc,Misc
Image_746964,VR Interactable,Toggle Voice,Alternar Voz
SampleButton_741706,VR Interactable,Play Sample,Reproducir Muestra
SettingsTitle_746874,UI Text,Input binding,Input de Asignación de Teclas
ActionLabel_743972,UI Text,Action,Acción
ControllerLabel_740058,UI Text,Controller,Mando
AxisLabel_740550,UI Text,Axis,
SelectCtrlr_744404,UI Text,Select a controller,Seleccionar mando
BindingsButton_745912,VR Interactable,Bind,Asignar
Text_742080,UI Text,Bind,Asignar
NextCtrlrButton_745738,VR Interactable,Next Controller,Siguiente Mando
PrevCtrlrButton_747542,VR Interactable,Previous Controller,Anterior Mando
TestLabel_744460,UI Text,Axis Test,Test Axis
ClearButton_744128,VR Interactable,Clear Binding,Borrar Asignaciones
Text_742294,UI Text,Clear,Borrar
InvertButton_731022,VR Interactable,Invert Axis,Invertir Axis
Text_724774,UI Text,Invert,Invertir
Text_746160,UI Text,Apply,Aplicar
Title_744764,UI Text,Launch Editor?,¿Lanzar Editor?
Title (1)_740936,UI Text,The mission editor will run on your monitor.,El editor de misiones correrá en tu monitor.
OkayButton_742216,VR Interactable,Launch Editor,Lanzat Editor
BackButton_507224,VR Interactable,Back to Main Menu,Volver al Menú Principal
Title (1)_740580,UI Text,The map editor will run on your monitor.,El editor de mapas correrá en tu monitor.
